field,name,info
REPORT_PERIOD,תקופת הדיווח,תקופת הדיווח yyyymm
FUND_ID,מס' הקופה,מספר מס הכנסה של קופת הגמל. זיהוי יחודי לקופה.
FUND_NAME,שם קופה,שם קופה -  מלל
FUND_CLASSIFICATION,סוג קופה,"סוג קופת גמל: תגמולים ואישית לפיצויים, קרנות השתלמות, מרכזית לפיצויים, מטרה אחרת, קופת גמל להשקעה, קופת גמל להשקעה חיסכון לכל ילד"
CONTROLLING_CORPORATION,שם תאגיד שולט,שם תאגיד שולט
MANAGING_CORPORATION,שם חברה מנהלת,שם חברה מנהלת
DESCRIPTION1,סכומים במיליוני שח,סכומים במיליוני ₪
DESCRIPTION2,תשואות נומינליות ברוטו,תשואות נומינליות ברוטו
SPECIALIZATION,סוג התמחות ראשית,"כללי, מניות, אג""ח, מט""ח, שקלי, מדד, חו""ל, ישראל, הלכתי, חכ""מ אחר,אחר"
SUB_SPECIALIZATION,סוג התמחות משנית,"כללי: ללא מניות, עד 10% מניות, ממשלתי, פסיבי, כללי. מניות: ישראל, חו""ל, הייטק, פסיבי. אג""ח: ללא מניות, צמוד מדד, קונצרני, טווח קצר, לא צמוד, ממשלתי, סולידי, משולב מניות וכו'. וכו'."
TOTAL_ASSETS,יתרת נכסים לסוף תקופה,יתרת נכסים לסוף תקופה שנבחרה בעד תקופת דיווח
MONTHLY_YIELD,תשואה חודשית,תשואה חודשית
YEAR_TO_DATE_YIELD,תשואה מצטברת מתחילת השנה,תשואה מצטברת מתחילת השנה
YIELD_TRAILING_3_YRS,תשואה מצטברת ל-3 שנים עוקבות,תשואה מצטברת ל-3 שנים עוקבות
YIELD_TRAILING_5_YRS,תשואה מצטברת ל-5 שנים עוקבות,תשואה מצטברת ל-5 שנים עוקבות
AVG_ANNUAL_YIELD_TRAILING_3YRS,תשואה שנתיתי ממוצעת ל-3 שנים עוקבות,תשואה שנתיתי ממוצעת ל-3 שנים עוקבות
AVG_ANNUAL_YIELD_TRAILING_5YRS,תשואה שנתית ממוצעת ל-5 שנים עוקבות,תשואה שנתית ממוצעת ל-5 שנים עוקבות
LIQUID_ASSETS_PERCENT,יחס נזילות,אחוז הנזילות של נכסי הקופה
STOCK_MARKET_EXPOSURE,חשיפה למניות,חשיפה למניות
FOREIGN_EXPOSURE,"חשיפה לחו""ל","חשיפה לחו""ל"
FOREIGN_CURRENCY_EXPOSURE,"חשיפה למט""ח","חשיפה למט""ח"
AVG_ANNUAL_MANAGEMENT_FEE,שיעור דמי ניהול ממוצעת שנתי – נכסים,שיעור דמי ניהול ממוצעת שנתי – נכסים
AVG_DEPOSIT_FEE,שיעור דמי ניהול ממוצעת מהפקדות,שיעור דמי ניהול ממוצעת- הפקדות
INCEPTION_DATE,תאריך הקמה,תאריך הקמת הקופה/מסלול
TARGET_POPULATION,אוכלוסיית יעד,האם מיועדת לכלל האוכלוסייה או לעובדי מפעל/גוף מסויים (ענפיות)
NET_MONTHLY_DEPOSITS,צבירה נטו,הפקדות - משיכות +/- העברות
DEPOSITS,הפקדות ללא העברות,הפקדות של עמיתם שכירים ועצמאים לקופה
WITHDRAWLS,משיכות ללא העברות,תשלומים לעמיתים שכירים ועצמאיים
INTERNAL_TRANSFERS,העברות בין הקופות,העברות נטו בין הקופות. העברות מקופות גמל אחרות פחות העברות לקופות אחרות
STANDARD_DEVIATION,סטית תקן – 5 שנים עוקבות,סטית תקן – 5 שנים עוקבות
ALPHA,אלפא שנתית,חישוב אלפא שנתית של תשואות הקופה על סמך התשואה החודשית של 60 החודשים האחרונים
SHARPE_RATIO,שארפ ריבית חסרת סיכון,"מדד שנתית של תשואות הקופה ביחס למדד ריבית ללא סיכון, על סמך התשואה החודשית של 60 החודשים האחרונים"
MANAGING_CORPORATION_LEGAL_ID,ח.פ חברה,ח.פ. של החברה המנהלת
CURRENT_DATE,תאריך נוכחי,תאריך נוכחי
